id,name,point,dosage,treatment_type,depth,desired_outcome,side_effects
1,Frontalis,10,4,Forehead Lines,Superficial ,Soften horizontal forehead rhytids,Brows drop
2,Frontalis,69,4,Forehead Lines,Superficial ,Soften horizontal forehead rhytids,Brows drop
3,Frontalis ,108,4,Forehead Lines,Superficial ,Soften horizontal forehead rhytids,Brows drop
4,Frontalis ,299,4,Forehead Lines,Superficial ,Soften horizontal forehead rhytids,Brows drop
5,Frontalis ,337,4,Forehead Lines,Superficial ,Soften horizontal forehead rhytids,Brows drop
6,Procerus ,9,2,Frown Lines,Superficial ,"Raise bridge of nose, soften horizontal rhytid ",Skin between brows drop if frontalis injected
7,Procerus ,151,2,Frown Lines,Superficial ,"Raise bridge of nose, soften horizontal rhytid ",Skin between brows drop if frontalis injected
8,Orbital Oculi ,35,2.5,Crow’s Feet,Superficial ,"Soften horizontal and diagonal rhytids, raise lateral brows, more open eye appearance",May affect smile if zygomaticus minor or major receives BoNT-A
9,Orbital Oculi ,117,2.5,Crow’s Feet,Superficial ,"Soften horizontal and diagonal rhytids, raise lateral brows, more open eye appearance",May affect smile if zygomaticus minor or major receives BoNT-A
10,Orbital Oculi ,124,2.5,Crow’s Feet,Superficial ,"Soften horizontal and diagonal rhytids, raise lateral brows, more open eye appearance",May affect smile if zygomaticus minor or major receives BoNT-A
11,Orbital Oculi ,265,2.5,Crow’s Feet,Superficial ,"Soften horizontal and diagonal rhytids, raise lateral brows, more open eye appearance",May affect smile if zygomaticus minor or major receives BoNT-A
12,Orbital Oculi ,353,2.5,Crow’s Feet,Superficial ,"Soften horizontal and diagonal rhytids, raise lateral brows, more open eye appearance",May affect smile if zygomaticus minor or major receives BoNT-A
13,Orbital Oculi ,445,2.5,Crow’s Feet,Superficial ,"Soften horizontal and diagonal rhytids, raise lateral brows, more open eye appearance",May affect smile if zygomaticus minor or major receives BoNT-A
14,Nasalis Transverse ,122,1,Bunny Lines,Superficial ,Soften or eliminate diagonal rhytids along side of nose “bunny lines" ,"May inadvertently inject LLSAN, dropping upper lip"
15,Nasalis Transverse ,174,1,Bunny Lines,Superficial ,Soften or eliminate diagonal rhytids along side of nose “bunny lines" ,"May inadvertently inject LLSAN, dropping upper lip"
16,Nasalis Transverse ,196,1,Bunny Lines,Superficial ,Soften or eliminate diagonal rhytids along side of nose “bunny lines" ,"May inadvertently inject LLSAN, dropping upper lip"
17,Nasalis Transverse ,351,1,Bunny Lines,Superficial ,Soften or eliminate diagonal rhytids along side of nose “bunny lines" ,"May inadvertently inject LLSAN, dropping upper lip"
18,Nasalis Transverse ,399,1,Bunny Lines,Superficial ,Soften or eliminate diagonal rhytids along side of nose “bunny lines" ,"May inadvertently inject LLSAN, dropping upper lip"
19,Nasalis Transverse ,419,1,Bunny Lines,Superficial ,Soften or eliminate diagonal rhytids along side of nose “bunny lines" ,"May inadvertently inject LLSAN, dropping upper lip"
20,Levator Labii Superioris Alaque Nasi ,114,2,Nasolabial Folds,Superficial ,"Decrease a smile that shows too much gingiva, or a “gummy smile" ","Unable to show upper teeth, making the upper lip look long"
21,Levator Labii Superioris Alaque Nasi ,128,2,Nasolabial Folds,Superficial ,"Decrease a smile that shows too much gingiva, or a “gummy smile" ","Unable to show upper teeth, making the upper lip look long"
22,Levator Labii Superioris Alaque Nasi ,129,2,Nasolabial Folds,Superficial ,"Decrease a smile that shows too much gingiva, or a “gummy smile" ","Unable to show upper teeth, making the upper lip look long"
23,Levator Labii Superioris Alaque Nasi ,131,2,Nasolabial Folds,Superficial ,"Decrease a smile that shows too much gingiva, or a “gummy smile" ","Unable to show upper teeth, making the upper lip look long"
24,Levator Labii Superioris Alaque Nasi ,165,2,Nasolabial Folds,Superficial ,"Decrease a smile that shows too much gingiva, or a “gummy smile" ","Unable to show upper teeth, making the upper lip look long"
25,Levator Labii Superioris Alaque Nasi ,188,2,Nasolabial Folds,Superficial ,"Decrease a smile that shows too much gingiva, or a “gummy smile" ","Unable to show upper teeth, making the upper lip look long"
26,Levator Labii Superioris Alaque Nasi ,193,2,Nasolabial Folds,Superficial ,"Decrease a smile that shows too much gingiva, or a “gummy smile" ","Unable to show upper teeth, making the upper lip look long"
27,Levator Labii Superioris Alaque Nasi ,209,2,Nasolabial Folds,Superficial ,"Decrease a smile that shows too much gingiva, or a “gummy smile" ","Unable to show upper teeth, making the upper lip look long"
