point,side,name,landmark_coords,id
0,center,cupids_bow,"[0.492109375, 0.716357421875]",
27,left,orbital_oculi,"[0.340966796875, 0.405107421875]",
28,left,orbiculi_pelperbal,"[0.375537109375, 0.408037109375]",
33,left,orbiculi_pelperbal,"[0.303828125, 0.44912109375]",
31,left,orbiculi_pelperbal,"[0.2844921875, 0.48525390625]",
35,left,orbital_oculi,"[0.25255859375, 0.46494140625]",
46,left,temporalis,"[0.26212890625, 0.4111328125]",
34,left,temporalis,"[0.2119921875, 0.460302734375]",
21,left,temporalis,"[0.208623046875, 0.34189453125]",
11,center,tubercles_upper,"[0.489697265625, 0.72689453125]",
12,center,tubercles_upper,"[0.48955078125, 0.73814453125]",
15,center,tubercles_lower,"[0.489833984375, 0.76150390625]",
16,center,tubercles_lower,"[0.490263671875, 0.777880859375]",
17,center,obicularis_oris,"[0.491259765625, 0.79525390625]",
25,left,orbital_oculi,"[0.302490234375, 0.467607421875]",
7,left,orbiculi_pelperbal,"[0.314404296875, 0.459892578125]",
30,left,orbital_oculi,"[0.296240234375, 0.422490234375]",
29,left,orbital_oculi,"[0.312744140625, 0.411455078125]",
38,left,tubercles_lower,"[0.46234375, 0.7380078125]",
37,left,vermillion_upper,"[0.460068359375, 0.709091796875]",
39,left,tubercles_upper,"[0.43001953125, 0.718916015625]",
40,left,zygomaticus_minor,"[0.408369140625, 0.72974609375]",
43,left,depressor_anguli_oris,"[0.377890625, 0.76890625]",
42,left,tubercles_upper,"[0.419619140625, 0.74255859375]",
41,left,tubercles_upper,"[0.439990234375, 0.739287109375]",
32,left,depressor_anguli_oris,"[0.3998828125, 0.8505078125]",
36,left,zygomaticus_minor,"[0.372138671875, 0.59705078125]",
50,left,zygomaticus_minor,"[0.296103515625, 0.59177734375]",
49,left,nasalis_transverse,"[0.420849609375, 0.600185546875]",
48,left,nasalis_transverse,"[0.42072265625, 0.613427734375]",
45,left,nose_tip,"[0.47099609375, 0.593486328125]",
44,left,dilator_naris_anterior,"[0.473984375, 0.617275390625]",
20,left,dilator_naris_anterior,"[0.478251953125, 0.631796875]",
2,center,philtral_columns,"[0.494921875, 0.6458984375]",
19,center,nose_tip,"[0.4944921875, 0.63123046875]",
1,center,columella,"[0.494765625, 0.617412109375]",
4,center,dilator_naris_anterior,"[0.4940625, 0.593916015625]",
5,center,nasalis_transverse,"[0.494619140625, 0.559169921875]",
6,center,radix,"[0.498369140625, 0.475048828125]",
8,center,radix,"[0.49666015625, 0.413955078125]",
9,center,procerus,"[0.49779296875, 0.3790625]",
10,center,frontalis,"[0.498837890625, 0.23109375]",
3,left,compressor_narium_minor,"[0.475703125, 0.534228515625]",
47,left,levator_labii_superioris,"[0.424072265625, 0.52865234375]",
26,left,orbiculi_pelperbal,"[0.41259765625, 0.47744140625]",
22,left,orbiculi_pelperbal,"[0.391064453125, 0.482841796875]",
23,left,orbital_oculi,"[0.362939453125, 0.485380859375]",
24,left,orbiculi_pelperbal,"[0.336767578125, 0.484990234375]",
14,center,tubercles_upper,"[0.4904296875, 0.74794921875]",
18,center,mentalis,"[0.492578125, 0.81650390625]",
13,center,tubercles_upper,"[0.490380859375, 0.74515625]",
62,left,vermillion_lower,"[0.392099609375, 0.748798828125]",
57,left,risorius,"[0.361630859375, 0.742841796875]",
58,left,masseter,"[0.24296875, 0.711904296875]",
51,left,compressor_narium_minor,"[0.47314453125, 0.561748046875]",
55,left,orbital_oculi,"[0.442255859375, 0.4115625]",
60,left,nasalis_alar,"[0.458876953125, 0.635146484375]",
59,left,nasalis_transverse,"[0.44234375, 0.62787109375]",
64,left,nasalis_transverse,"[0.423134765625, 0.62576171875]",
61,left,vermillion_lower,"[0.384287109375, 0.749873046875]",
66,left,orbiculi_pelperbal,"[0.36716796875, 0.371064453125]",
63,left,temporalis,"[0.271484375, 0.3783203125]",
70,left,temporalis,"[0.24609375, 0.39716796875]",
56,left,orbiculi_pelperbal,"[0.407041015625, 0.421708984375]",
65,left,orbiculi_pelperbal,"[0.373212890625, 0.394296875]",
52,left,orbital_oculi,"[0.323642578125, 0.389921875]",
53,left,orbiculi_pelperbal,"[0.285439453125, 0.396337890625]",
68,left,frontalis,"[0.252060546875, 0.335166015625]",
54,left,temporalis,"[0.233681640625, 0.2987109375]",
69,left,frontalis,"[0.359072265625, 0.301044921875]",
67,left,corrugator_supercilii,"[0.34130859375, 0.2427734375]",
94,center,columella,"[0.494736328125, 0.63849609375]",
102,left,nasalis_transverse,"[0.419375, 0.612099609375]",
91,left,depressor_labii_inferioris,"[0.406611328125, 0.77228515625]",
87,left,tubercles_lower,"[0.46537109375, 0.7475]",
146,left,vermillion_lower,"[0.392333984375, 0.761943359375]",
96,left,vermillion_lower,"[0.4046875, 0.75419921875]",
95,left,tubercles_upper,"[0.408583984375, 0.748974609375]",
90,left,vermillion_lower,"[0.411865234375, 0.764404296875]",
89,left,vermillion_lower,"[0.416953125, 0.756201171875]",
88,left,tubercles_lower,"[0.424013671875, 0.748642578125]",
80,left,tubercles_upper,"[0.4258203125, 0.7451953125]",
78,left,vermillion_lower,"[0.3949609375, 0.749306640625]",
77,left,tubercles_lower,"[0.399228515625, 0.75521484375]",
74,left,vermillion_upper,"[0.413671875, 0.736171875]",
148,left,mentalis,"[0.439521484375, 0.913701171875]",
125,left,columella,"[0.482978515625, 0.630419921875]",
97,left,obicularis_oris,"[0.46396484375, 0.6462890625]",
