region_id,point,side,name,x,y,z
,0,center,Cupids Bow,0.492109375,0.716357422,
,1,center,Columella,0.494765625,0.617412109,
,2,center,Philtral Columns,0.494921875,0.645898438,
,3,left,Compressor Narium Minor,0.475703125,0.534228516,
,4,center,Dilator Naris Anterior,0.4940625,0.593916016,
,5,center,Nasalis Transverse,0.494619141,0.559169922,
,6,center,Radix,0.498369141,0.475048828,
,7,left,Orbiculi Pelperbal,0.314404297,0.459892578,
,8,center,Radix,0.496660156,0.413955078,
,9,center,Procerus,0.497792969,0.3790625,
,10,center,Frontalis,0.498837891,0.23109375,
,11,center,Tubercles Upper,0.489697266,0.726894531,
,12,center,Tubercles Upper,0.489550781,0.738144531,
,13,center,Tubercles Upper,0.490380859,0.74515625,
,14,center,Tubercles Upper,0.490429688,0.747949219,
,15,center,Tubercles Lower,0.489833984,0.761503906,
,16,center,Tubercles Lower,0.490263672,0.777880859,
,17,center,Obicularis Oris,0.491259766,0.795253906,
,18,center,Mentalis,0.492578125,0.816503906,
,19,center,Nose Tip,0.494492188,0.631230469,
,20,left,Dilator Naris Anterior,0.478251953,0.631796875,
,21,left,Temporalis,0.208623047,0.341894531,
,22,left,Orbiculi Pelperbal,0.391064453,0.482841797,
,23,left,Orbital Oculi,0.362939453,0.485380859,
,24,left,Orbiculi Pelperbal,0.336767578,0.484990234,
,25,left,Orbital Oculi,0.302490234,0.467607422,
,26,left,Orbiculi Pelperbal,0.412597656,0.477441406,
,27,left,Orbital Oculi,0.340966797,0.405107422,
,28,left,Orbiculi Pelperbal,0.375537109,0.408037109,
,29,left,Orbital Oculi,0.312744141,0.411455078,
,30,left,Orbital Oculi,0.296240234,0.422490234,
,31,left,Orbiculi Pelperbal,0.284492188,0.485253906,
,32,left,Depressor Anguli Oris,0.399882813,0.850507813,
,33,left,Orbiculi Pelperbal,0.303828125,0.449121094,
,34,left,Temporalis,0.211992188,0.460302734,
,35,left,Orbital Oculi,0.252558594,0.464941406,
,36,left,Zygomaticus Minor,0.372138672,0.597050781,
