landmark,segment_name,category_id,area,region_name,injection_name,injection_point
0,cupids_bow,37,Lips,Cupids Bow,null,FALSE
27,orbital_oculi,25,Eye,Orbital Oculi,null,FALSE
28,orbiculi_pelperbal,33,Eye,Orbiculi Pelperbal,null,FALSE
33,orbiculi_pelperbal,33,Eye,Orbiculi Pelperbal,null,FALSE
31,orbiculi_pelperbal,33,Eye,Orbiculi Pelperbal,null,FALSE
35,orbital_oculi,25,Eye,Orbital Oculi,Orbital Oculi 35,FALSE
46,temporalis,34,Temples,Temporalis,null,FALSE
34,temporalis,34,Temples,Temporalis,null,FALSE
21,temporalis,34,Temples,Temporalis,null,FALSE
11,tubercles_upper,41,Lips,Tubercles Upper,null,FALSE
12,tubercles_upper,41,Lips,Tubercles Upper,null,FALSE
15,tubercles_lower,42,Lower lip,Tubercles Lower,null,FALSE
16,tubercles_lower,42,Lower lip,Tubercles Lower,null,FALSE
17,obicularis_oris,35,Lips,Obicularis Oris,Obicularis Oris 17,FALSE
25,orbital_oculi,25,Eye,Orbital Oculi,null,FALSE
7,orbiculi_pelperbal,33,Eye,Orbiculi Pelperbal,null,FALSE
30,orbital_oculi,25,Eye,Orbital Oculi,null,FALSE
29,orbital_oculi,25,Eye,Orbital Oculi,null,FALSE
38,tubercles_lower,42,Lower lip,Tubercles Lower,null,FALSE
37,vermillion_upper,38,Lips,Vermillion Upper,null,FALSE
39,tubercles_upper,41,Lips,Tubercles Upper,null,FALSE
40,zygomaticus_minor,32,Cheek,Zygomaticus Minor,null,FALSE
43,depressor_anguli_oris,6,Chin,Depressor Anguli Oris,Depressor Anguli Oris 43,FALSE
42,tubercles_upper,41,Lips,Tubercles Upper,null,FALSE
41,tubercles_upper,41,Lips,Tubercles Upper,null,FALSE
32,depressor_anguli_oris,6,Chin,Depressor Anguli Oris,Depressor Anguli Oris 32,FALSE
36,zygomaticus_minor,32,Cheek,Zygomaticus Minor,null,FALSE
50,zygomaticus_minor,32,Cheek,Zygomaticus Minor,null,FALSE
49,nasalis_transverse,21,Nose,Nasalis Transverse,null,FALSE
48,nasalis_transverse,21,Nose,Nasalis Transverse,null,FALSE
45,nose_tip,48,Nose,Nose Tip,null,FALSE
44,dilator_naris_anterior,10,Nose,Dilator Naris Anterior,null,FALSE
20,dilator_naris_anterior,10,Nose,Dilator Naris Anterior,null,FALSE
2,philtral_columns,36,Lips,Philtral Columns,null,FALSE
19,nose_tip,48,Nose,Nose Tip,null,FALSE
1,columella,45,Nose,Columella,null,FALSE
4,dilator_naris_anterior,10,Nose,Dilator Naris Anterior,null,FALSE
5,nasalis_transverse,21,Nose,Nasalis Transverse,null,FALSE
6,radix,47,Nose,Radix,null,FALSE
8,radix,47,Nose,Radix,null,FALSE
9,procerus,28,Nose,Procerus,Procerus 9,FALSE
10,frontalis,11,Forehead,Frontalis,Frontalis 10,FALSE
